username,type,note,date,clock
buket,Task,birthday,31 Tem 2020,23:59
buket,Meeting,back to school,15 Haz 2020,09:00
buket,Task,birthday,15 Haz 2020,09:00
buket,Task,birthday,15 Haz 2020,09:00
buket,Task,birthday,17 Haz 2020,05:00
yigit,Meeting,asdf,10 May 2020,21:15
yigit,Meeting,asdf,10 May 2020,21:15
yigit,Meeting,asdf,10 May 2020,21:15
yigit,Meeting,asdf,10 May 2020,21:15
yigit,Meeting,asdf,10 May 2020,21:15
yigit,Meeting,asdf,10 May 2020,21:15
yigit,Meeting,asdf,10 May 2020,21:15
yigit,Meeting,123,11 May 2020,21:52
yigit,Meeting,123,11 May 2020,21:52
yigit,Meeting,123,11 May 2020,21:52
